x2,y2,r_mag,ax2,ay2
361162671.60234106,130099015.65313977,384399999.9999563,-0.0025432108280145915,-0.0008991099988476525
363931812.4038652,132659626.04068936,384399999.99995106,-0.0025375024565752746,-0.00091509638181686
359617522.10375947,134517502.6717352,384399999.99994767,-0.0025316935970771115,-0.0009310465259099732
354617921.3221896,136773230.86693066,384399999.99994487,-0.002525784480937543,-0.0009469597999913482
364237032.64333034,136538437.36570883,384399999.99993896,-0.0025197753397686873,-0.0009628355729532911
361526991.6687605,139199208.02055827,384399999.9999357,-0.0025136664134668696,-0.0009786732168752255
358530071.252236,142278167.55139756,384399999.9999313,-0.0025074579440067385,-0.0009944721045692106
364225737.676718,143242216.05477467,384399999.99992484,-0.002501150174892608,-0.0010102316094283414
358188785.2788507,146512808.4557494,384399999.9999217,-0.002494743358951071,-0.001025951108634321
359268718.8507845,148865405.79954565,384399999.9999156,-0.002488237748835595,-0.0010416299792034012
352467027.00447375,151595455.6400403,384399999.99990845,-0.0024816335999786193,-0.00105726759930308
356620834.0507609,152984922.01201642,384399999.99990517,-0.0024749311776454813,-0.0010728633513151786
352808706.4727832,153162819.06147474,384399999.9998977,-0.002468130745560612,-0.0010884166168483311
348346735.2435415,155761103.48263985,384399999.9998894,-0.0024612325707289995,-0.0011039267789481888
353363382.2692349,159459923.4011916,384399999.9998854,-0.002454236930559184,-0.0011193932253611982
353768754.79057497,162341338.0338927,384399999.9998773,-0.002447144100349588,-0.0011348153427594432
354285321.52286696,162943485.33428934,384399999.9998674,-0.002439954358119417,-0.0011501925190557372
343527259.7895786,164370510.79363087,384399999.9998621,-0.0024326679930643524,-0.0011655241474834432
345095300.85898876,164881612.84772968,384399999.99985445,-0.002425285292797355,-0.0011808096204079521
348526505.95082146,167417936.46601537,384399999.9998422,-0.0024178065458250464,-0.0011960483305823166
345918553.64031184,173821863.776547,384399999.99983484,-0.002410232052301217,-0.0012112396765857625
342986019.52027476,172655404.28808087,384399999.9998288,-0.002402562113226453,-0.0012263830573477075
341760040.6397128,177405184.91584492,384399999.99981403,-0.0023947970274511426,-0.001241477870598806
335037128.4514695,176867793.26075363,384399999.9998037,-0.0023869371045715237,-0.0012565235197031233
335906640.86075777,180095497.31069523,384399999.9997996,-0.0023789826599346225,-0.001271519411052885
336484142.1979644,184270057.53421694,384399999.9997829,-0.0023709340035209248,-0.0012864649480054946
344462894.44533026,184905446.24551725,384399999.9997689,-0.0023627914527658694,-0.0013013595379926801
335029146.3009453,188831345.13427788,384399999.99976194,-0.0023545553364606175,-0.0013162025947805744
334180345.77409136,191840336.98487583,384399999.9997495,-0.0023462259781922012,-0.0013309935290629626
334457688.2578993,192902926.67871472,384399999.99973077,-0.0023378037029341547,-0.0013457317522570789
333525453.15232193,192755673.78014073,384399999.9997183,-0.0023292888489926666,-0.0013604166835588516
331545617.57952523,197903507.3084588,384399999.9997125,-0.002320681756625906,-0.0013750477432732666
